Title,Website,Normalized_Website,City,State,Location,Lat,Lng
Artisan Beverage Coop,http://www.artbev.coop (Work),http://www.artbev.coop,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
Artwood Gallery,http://artwoodgallery.com (Work),http://artwoodgallery.com,Washington,WA,"Washington, WA",47.7510741,-120.7401385
AWOL Dance Collective,http://awoldance.org (Work),http://awoldance.org,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Baltimore Bicycle Works,http://baltimorebicycleworks.com (Work),http://baltimorebicycleworks.com,Baltimore,MD,"Baltimore, MD",39.2903848,-76.6121893
Bed Stuy Fresh and Local,http://bedstuyfreshandlocal.net (Work),http://bedstuyfreshandlocal.net,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Bedlam Theatre,http://www.bedlamtheatre.org (Work),http://www.bedlamtheatre.org,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
Bellingham Bay Builders,http://bellinghambaybuilders.com (Work),http://bellinghambaybuilders.com,Bellingham,WA,"Bellingham, WA",48.7519112,-122.4786854
Beluga Software,http://belugasoftware.com (Work),http://belugasoftware.com,Olympia,WA,"Olympia, WA",47.0378741,-122.9006951
Berkeley Massage & Self Healing Center,https://www.berkeleymassage.com/ (Work),https://www.berkeleymassage.com/,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Beyond Care,http://beyondcare.coop (Work),http://beyondcare.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
BICAS Bicycle Inter Community Art and Salvage,http://bicas.org (Work),http://bicas.org,Tucson,AZ,"Tucson, AZ",32.2226066,-110.9747108
Big Timberworks,http://bigtimberworks.com (Work),http://bigtimberworks.com,Gallatin Gateway,MT,"Gallatin Gateway, MT",45.5915958,-111.1977304
Bikes and Humans,http://bikesandhumans.com (Work),http://bikesandhumans.com,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Bio-Classic Cleaning,http://facebook.com/Bio-Classic-Cleaning-Services-805145459535290 (Work),http://facebook.com/Bio-Classic-Cleaning-Services-805145459535290,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
Biofuel Oasis,http://biofueloasis.com (Work),http://biofueloasis.com,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Bits and Bites,https://www.facebook.com/bitsbitestechcafe (Work),https://www.facebook.com/bitsbitestechcafe,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
Black Bear Bakery,http://www.blackbear.coop/ (Work),http://www.blackbear.coop/,St Louis,MO,"St Louis, MO",38.6270025,-90.1994042
Black Cap Landscaping Cooperative,https://blackcapcoop.wordpress.com (Work),https://blackcapcoop.wordpress.com,Seattle,WA,"Seattle, WA",47.6062095,-122.3320708
Black Star Co-op,http://blackstar.coop (Work),http://blackstar.coop,Austin,TX,"Austin, TX",30.267153,-97.7430608
Blue Dot Advocates,https://bluedotlaw.com (Work),https://bluedotlaw.com,Denver,CO,"Denver, CO",39.7392358,-104.990251
Blue Scorcher Bakery & Cafe,http://bluescorcher.coop (Work),http://bluescorcher.coop,Astoria,OR,"Astoria, OR",46.1878841,-123.8312534
Blue Spruce Painting and Decorating,http://bluesprucepainting.com (Work),http://bluesprucepainting.com,Ithaca,NY,"Ithaca, NY",42.4439614,-76.5018807
Boston Interpreters Collective,http://interpreterscollective.org (Work),http://interpreterscollective.org,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Boston TechCollective,https://techcollective.com/ (Work),https://techcollective.com/,Somerville,MA,"Somerville, MA",42.3875968,-71.0994968
Bountiful Backyards,http://bountifulbackyards.com (Work),http://bountifulbackyards.com,Durham,NC,"Durham, NC",35.9940329,-78.898619
Box Dog Bikes,http://www.boxdogbikes.com (Work),http://www.boxdogbikes.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Brattleboro Holistic Health,http://brattleboroholistichealth.com (Work),http://brattleboroholistichealth.com,Brattleboro,VT,"Brattleboro, VT",42.8509152,-72.5578678
BreadHive Bakery & Cafe,http://www.Breadhive.com (Work),http://www.Breadhive.com,Buffalo,NY,"Buffalo, NY",42.8864468,-78.8783689
Breitenbush Hot Springs,http://www.breitenbush.com (Work),http://www.breitenbush.com,Detroit,OR,"Detroit, OR",44.7340108,-122.1497982
Brightly Cleaning Cooperative,http://www.brightly.com (Work),http://www.brightly.com,New York,NY,"New York, NY",40.7127753,-74.0059728
Bring It Local,http://bringitlocal.com (Work),http://bringitlocal.com,Fairfax,CA,"Fairfax, CA",37.9871454,-122.5888686
Broadway Bicycle,http://broadwaybicycleschool.com (Work),http://broadwaybicycleschool.com,Cambridge,MA,"Cambridge, MA",42.3736158,-71.1097335
Brooklyn Packers,https://www.facebook.com/thebrooklynpackers/ (Work),https://www.facebook.com/thebrooklynpackers/,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Buffalo Mountain Food Co-op & Cafe,http://buffalomountaincoop.org (Work),http://buffalomountaincoop.org,Hardwick,VT,"Hardwick, VT",44.5416243,-72.3486802
C.L.A.R.O.,,,San Jose,CA,"San Jose, CA",37.3382082,-121.8863286
C'Ville Foodscapes,http://cvillefoodscapes.com (Work),http://cvillefoodscapes.com,Charlottesville,VA,"Charlottesville, VA",38.0293059,-78.4766781
C4 Tech & Design,http://c4tech.com (Work),http://c4tech.com,New Orleans,LA,"New Orleans, LA",29.9510658,-90.0715323
Camas Partners,http://camaspartners.com (Work),http://camaspartners.com,Spokane,WA,"Spokane, WA",47.6587802,-117.4260465
Caracol Language Cooperative,http://facebook.com/CaracolLanguageCoop (Work),http://facebook.com/CaracolLanguageCoop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Casa Nueva Restaurant,http://www.casanueva.com (Work),http://www.casanueva.com,Athens,OH,"Athens, OH",39.3292396,-82.1012554
Cascadia Collective Hood & Duct,http://www.cascadiacollectivehoodandduct.com/ (Work),http://www.cascadiacollectivehoodandduct.com/,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Catamount Solar,http://catamountsolar.com (Work),http://catamountsolar.com,Randolph,VT,"Randolph, VT",43.9247446,-72.6656948
Center Point Counseling Services,http://centerpoint.coop (Work),http://centerpoint.coop,Viroqua,WI,"Viroqua, WI",43.5569174,-90.8887413
Central Coop,http://www.centralcoop.coop/home.php (Work),http://www.centralcoop.coop/home.php,Seattle,WA,"Seattle, WA",47.6062095,-122.3320708
CERO,http://www.CERO.coop (Work),http://www.CERO.coop,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Charmington's,http://charmingtons.com (Work),http://charmingtons.com,Baltimore,MD,"Baltimore, MD",39.2903848,-76.6121893
Childspace,http://childspacedaycarecenters.org/ (Work),http://childspacedaycarecenters.org/,Philadelphia,PA,"Philadelphia, PA",39.9525839,-75.1652215
Circle of Life Caregiver Cooperative,http://circleoflife.coop (Work),http://circleoflife.coop,Bellingham,WA,"Bellingham, WA",48.7519112,-122.4786854
Circle Yoga Cooperative,http://circleyoga.com (Work),http://circleyoga.com,Washington,DC,"Washington, DC",38.9071923,-77.0368707
City Art Cooperative Gallery,http://www.cityartgallery.org (Work),http://www.cityartgallery.org,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Citybikes Workers' Cooperative,http://citybikes.coop (Work),http://citybikes.coop,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Civilization,http://welcometocivilization.com (Work),http://welcometocivilization.com,Gainesville,FL,"Gainesville, FL",29.6516344,-82.3248262
Clean Bee Cleaning Co-op,http://cleanbee.coop/ (Work),http://cleanbee.coop/,Portland,ME,"Portland, ME",43.6590993,-70.2568189
Co-Soap,http://co-soap.com (Work),http://co-soap.com,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
CoLab Cooperative,https://colab.coop/ (Work),https://colab.coop/,Ithaca,NY,"Ithaca, NY",42.4439614,-76.5018807
Collective Copies,http://www.collectivecopies.coop (Work),http://www.collectivecopies.coop,Amherst,MA,"Amherst, MA",42.3732216,-72.5198537
Colorado Recovery,http://coloradorecovery.com (Work),http://coloradorecovery.com,Boulder,CO,"Boulder, CO",40.0149856,-105.2705456
CoMetrics,http://www.coopmetrics.com (Work),http://www.coopmetrics.com,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Common Ground Health Clinic,http://www.cghc.org/ (Work),http://www.cghc.org/,New Orleans,LA,"New Orleans, LA",29.9510658,-90.0715323
Common Ground Wellness Co-Operative,http://cgwc.org (Work),http://cgwc.org,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Community Blend,http://facebook.com/CommunityBlendCoffeeShop (Work),http://facebook.com/CommunityBlendCoffeeShop,Cincinnati,OH,"Cincinnati, OH",39.1031182,-84.5120196
Community Builders Cooperative,http://communitybuilders.coop (Work),http://communitybuilders.coop,Somerville,MA,"Somerville, MA",42.3875968,-71.0994968
Community Pharmacy,http://communitypharmacy.coop (Work),http://communitypharmacy.coop,Madison,WI,"Madison, WI",43.0730517,-89.4012302
"Community Printers, Inc.",http://comprinters.com (Work),http://comprinters.com,Santa Cruz,CA,"Santa Cruz, CA",36.9741171,-122.0307963
Comrade Cycles LLC.,http://comradecycles.com (Work),http://comradecycles.com,Chicago,IL,"Chicago, IL",41.8781136,-87.6297982
Confluence Courier,http://confluencecourier.com (Work),http://confluencecourier.com,Denver,CO,"Denver, CO",39.7392358,-104.990251
Coop 108,http://coop108.com (Work),http://coop108.com,Haydenville,MA,"Haydenville, MA",42.3742798,-72.7020329
Cooperation Texas,http://cooperationtexas.coop (Work),http://cooperationtexas.coop,Austin,TX,"Austin, TX",30.267153,-97.7430608
Cooperative Care of Wisconsin,http://www.cooperativecare.us/ (Work),http://www.cooperativecare.us/,Wautoma,WI,"Wautoma, WI",44.0746995,-89.287897
Cooperative Digital,http://coopdigital.com (Work),http://coopdigital.com,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Cooperative Home Care Associates,http://www.chcany.org (Work),http://www.chcany.org,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
Cooperative Janitorial Services,http://cooperativejanitorialservices.yolasite.com/ (Work),http://cooperativejanitorialservices.yolasite.com/,Cincinnati,OH,"Cincinnati, OH",39.1031182,-84.5120196
Cricket Courier,http://cricketcourier.com (Work),http://cricketcourier.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Crown O'Maine Organic Cooperative,http://www.crownofmainecoop.com (Work),http://www.crownofmainecoop.com,North Vassalboro,ME,"North Vassalboro, ME",44.4860121,-69.6228847
Cupid Courier Collective,http://cupidcourier.com (Work),http://cupidcourier.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
D'Aboy Career Horizons,http://careerhorizon.net (Work),http://careerhorizon.net,Olympia,WA,"Olympia, WA",47.0378741,-122.9006951
Dahlia Green Cleaning,http://dahlia.coop (Work),http://dahlia.coop,Austin,TX,"Austin, TX",30.267153,-97.7430608
Data Systems Inc.,http://www.datasystems.coop (Work),http://www.datasystems.coop,Burlington,VT,"Burlington, VT",44.4758825,-73.212072
Deconstruction Works,http://www.deconstructionworks.com/ (Work),http://www.deconstructionworks.com/,Dummerston,VT,"Dummerston, VT",42.9215017,-72.5838146
Desert Marigold School,http://phoenixwaldorf.org/ (Work),http://phoenixwaldorf.org/,Phoenix,AZ,"Phoenix, AZ",33.4483771,-112.0740373
Design Action Collective,http://designaction.org (Work),http://designaction.org,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
DIG Coop,http://dig.coop (Work),http://dig.coop,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
Diggers Landscaping Co-op,http://www.diggerscoop.com/ (Work),http://www.diggerscoop.com/,Worcester,MA,"Worcester, MA",42.2625932,-71.8022934
Diggers Mirth Collective Farm,http://www.citymarket.coop (Work),http://www.citymarket.coop,Burlington,VT,"Burlington, VT",44.4758825,-73.212072
Dollars And Sense,http://www.dollarsandsense.org (Work),http://www.dollarsandsense.org,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Dos Pinos Landscaping,,,Queens,NY,"Queens, NY",40.7282239,-73.7948516
Earth Designs Cooperative,http://yourearthdesigns.com/ (Work),http://yourearthdesigns.com/,Rosendale,NY,"Rosendale, NY",41.8443125,-74.0810669
Earthbound Builders Collective,http://earthboundbuilders.com (Work),http://earthboundbuilders.com,Austin,TX,"Austin, TX",30.267153,-97.7430608
Echo Adventure Cooperative,http://www.echocoop.com (Work),http://www.echocoop.com,Groveland,CA,"Groveland, CA",37.8388779,-120.2308167
Eco-Care Housecleaning,http://www.eco-care.org/ (Work),http://www.eco-care.org/,Morgan Hill,CA,"Morgan Hill, CA",37.1305012,-121.6543901
Ecomundo Cleaning,http://ecomundo.coop (Work),http://ecomundo.coop,New York,NY,"New York, NY",40.7127753,-74.0059728
"Electric Embers Cooperative, Inc",https://electricembers.coop (Work),https://electricembers.coop,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Electric Violin Shop,http://electricviolinshop.com (Work),http://electricviolinshop.com,Durham,NC,"Durham, NC",35.9940329,-78.898619
Émigré Gourmet,http://Emigregourmet.weebly.com (Work),http://Emigregourmet.weebly.com,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Emma's Eco-Clean,http://emmasecoclean.com (Work),http://emmasecoclean.com,Redwood City,CA,"Redwood City, CA",37.4852152,-122.2363548
Energy Solidarity Cooperative,http://www.esc.coop (Work),http://www.esc.coop,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
Equal Exchange,http://equalexchange.coop/ (Work),http://equalexchange.coop/,West Bridgewater,MA,"West Bridgewater, MA",42.0189894,-71.0078215
Equality Homecare,http://equality.homecare.coop (Work),http://equality.homecare.coop,New Braunfels,TX,"New Braunfels, TX",29.7030024,-98.1244531
Equity Atlas,http://www.equityatlas.com/ (Work),http://www.equityatlas.com/,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Evergreen Energy Solutions,http://www.evgoh.com/e2s/ (Work),http://www.evgoh.com/e2s/,Cleveland,OH,"Cleveland, OH",41.49932,-81.6943605
Evergreen Laundry,http://www.evgoh.com/ecl/ (Work),http://www.evgoh.com/ecl/,Cleveland,OH,"Cleveland, OH",41.49932,-81.6943605
Ewing Controls,http://www.ewingcontrols.com/ (Work),http://www.ewingcontrols.com/,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
Farm Truck Juice,http://farmtruckjuice.com/ (Work),http://farmtruckjuice.com/,Portland,ME,"Portland, ME",43.6590993,-70.2568189
Fedco Seeds,http://www.fedcoseeds.com (Work),http://www.fedcoseeds.com,clinton,ME,"clinton, ME",44.637828,-69.5031267
Fertile Ground Compost Services,http://fertilegroundok.coop (Work),http://fertilegroundok.coop,Oklahoma City,OK,"Oklahoma City, OK",35.4675602,-97.5164276
Fertile Underground Grocery,http://fertileunderground.com (Work),http://fertileunderground.com,Providence,RI,"Providence, RI",41.8239891,-71.4128343
Firestorm Books & Coffee,https://www.firestorm.coop (Work),https://www.firestorm.coop,Asheville,NC,"Asheville, NC",35.5950581,-82.5514869
Four Star Video Cooperative,http://fourstarvideocoop.com (Work),http://fourstarvideocoop.com,Madison,WI,"Madison, WI",43.0730517,-89.4012302
French Broad Food Co-op,http://www.frenchbroadfood.coop (Work),http://www.frenchbroadfood.coop,ASHEVILLE,NC,"ASHEVILLE, NC",35.5950581,-82.5514869
Fresh Tamales,http://fresh-tamales.com (Work),http://fresh-tamales.com,Vista,CA,"Vista, CA",33.2000368,-117.2425355
Friends of the Third World,WWW.FRIENDSOFTHETHIRDWORLD.ORG (Work),WWW.FRIENDSOFTHETHIRDWORLD.ORG,Fort Wayne,IN,"Fort Wayne, IN",41.079273,-85.1393513
Fullsteam Labs,http://www.fullsteamlabs.com/ (Work),http://www.fullsteamlabs.com/,Asheville,NC,"Asheville, NC",35.5950581,-82.5514869
Future Focus Media Cooperative,http://futurefocusmedia.org (Work),http://futurefocusmedia.org,Worcester,MA,"Worcester, MA",42.2625932,-71.8022934
Gaia Host Collective,http://www.gaiahost.coop (Work),http://www.gaiahost.coop,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
Ginger Moon,http://ginger-moon.com (Work),http://ginger-moon.com,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
Glocal,https://glocal.coop (Work),https://glocal.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Glut Food Co-op,http://glutfood.org (Work),http://glutfood.org,Mt. Rainier,MD,"Mt. Rainier, MD",38.9415,-76.9649751
Golden Steps Elder Care Cooperative,http://www.goldensteps.coop (Work),http://www.goldensteps.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Great Sky Solar,http://greatskysolar.com (Work),http://greatskysolar.com,CAMBRIDGE,MA,"CAMBRIDGE, MA",42.3736158,-71.1097335
Green & Clean LLC,http://www.greencleaningcontracosta.com/ (Work),http://www.greencleaningcontracosta.com/,Pleasant Hill,CA,"Pleasant Hill, CA",37.9479786,-122.0607963
Green Broom Brigade Cooperative,http://greenbroombrigade.com (Work),http://greenbroombrigade.com,Lompoc,CA,"Lompoc, CA",34.6391501,-120.4579409
Green City Growers Cooperative,http://www.evgoh.com/gcg/ (Work),http://www.evgoh.com/gcg/,Cleveland,OH,"Cleveland, OH",41.49932,-81.6943605
Green Mountain Spinnery,http://spinnery.com (Work),http://spinnery.com,Putney,VT,"Putney, VT",42.975268,-72.5217237
Green Muse Housecleaning,http://www.facebook.com/pages/Green-Muse-Home-Cleaning-Co-Op/390754557625003 (Work),http://www.facebook.com/pages/Green-Muse-Home-Cleaning-Co-Op/390754557625003,Hendersonville,NC,"Hendersonville, NC",35.3187279,-82.4609528
Green Taxi Cooperative,http://greentaxico-op.com/ (Work),http://greentaxico-op.com/,Denver,CO,"Denver, CO",39.7392358,-104.990251
Greenvitalize Urban Growers,http://greenvitalize.org (Work),http://greenvitalize.org,Worcester,MA,"Worcester, MA",42.2625932,-71.8022934
Handwork - Craft Cooperative Store,http://handwork.coop (Work),http://handwork.coop,Ithaca,NY,"Ithaca, NY",42.4439614,-76.5018807
Heartwood Cooperative Woodshop,http://www.heartwoodshop.net (Work),http://www.heartwoodshop.net,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Home Care Associates,http://homecareassociatespa.com (Work),http://homecareassociatespa.com,Philadelphia,PA,"Philadelphia, PA",39.9525839,-75.1652215
Home Green Home,http://www.homegreenhomesf.com (Work),http://www.homegreenhomesf.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Hourworld,http://hourworld.org (Work),http://hourworld.org,Portland,ME,"Portland, ME",43.6590993,-70.2568189
HTINK,http://htink.org/ (Work),http://htink.org/,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
"ICA Group, Inc.",http://www.ica-group.org (Work),http://www.ica-group.org,Northampton,MA,"Northampton, MA",42.3250896,-72.6412013
In the City Off the Grid,http://inthecityoffthegrid.org (Work),http://inthecityoffthegrid.org,Rochester,NY,"Rochester, NY",43.1565779,-77.6088465
Independent Fabrication,http://ifbikes.com/ (Work),http://ifbikes.com/,Newmarket,NH,"Newmarket, NH",43.0828551,-70.9350382
Interpreters' Cooperative of Madison,http://interpreters.coop (Work),http://interpreters.coop,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Island Employee Cooperative,http://iecoop.org/ (Work),http://iecoop.org/,Stonington,ME,"Stonington, ME",44.156192,-68.6666926
Isthmus Engineering and Manufacturing Cooperative,http://isthmuseng.com (Work),http://isthmuseng.com,Oregon,WI,"Oregon, WI",42.9261116,-89.3845634
Jet Video Cooperative,http://jetvideoonline.com (Work),http://jetvideoonline.com,Portland,ME,"Portland, ME",43.6590993,-70.2568189
Juice Bar Collective Restaurant,http://thejuicebar.org (Work),http://thejuicebar.org,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Just Coffee Cooperative,http://justcoffee.coop (Work),http://justcoffee.coop,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Kaluk Marketing Services,http://kaluk.coop (Work),http://kaluk.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Kindred Content Design,http://kindredcontentdesign.com/ (Work),http://kindredcontentdesign.com/,Grandville,MI,"Grandville, MI",42.9097484,-85.7630885
La Colectiva,http://lacolectivasf.org (Work),http://lacolectivasf.org,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
La Finca del Sur - South Bronx Farmers,http://bronxfarmers.blogspot.com (Work),http://bronxfarmers.blogspot.com,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
La Mies Bakery,http://lamiesbakery.wixsite.com/lamiesbakery (Work),http://lamiesbakery.wixsite.com/lamiesbakery,Hempstead,NY,"Hempstead, NY",40.7062128,-73.6187397
Lakeside Printing Cooperative,http://www.lakesidepress.org (Work),http://www.lakesidepress.org,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Las Flores Metalarte,http://mueblespr.com (Work),http://mueblespr.com,Coamo,PR,"Coamo, PR",18.0799616,-66.3579473
